"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/29/2026","Margin Interest","","INTEREST 12/30THRU 01/28","","","","-$0.62"
"01/28/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","-10,000","","",""
"01/28/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","10,000","","",""
"01/27/2026","Sell","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","10,000","$1.00","","$10000.00"
"01/27/2026","Buy","TTE","TOTALENERGIES F","15","$71.3346","","-$1070.02"
"01/27/2026","Buy","CYATY","CONTEMPORARY AMPEREX T FUNSPONSORED ADR 1 ADR REP 0.25 ORD SHS","80","$14.94","$6.95","-$1202.15"
"01/26/2026 as of 01/23/2026","Expired","QQQ 01/23/2026 612.00 P","PUT INVESCO QQQ TR $612 EXP 01/23/26","-1","","",""
"01/23/2026","Buy to Open","XOM 12/18/2026 145.00 C","CALL EXXON MOBIL CORP $145 EXP 12/18/26","1","$7.90","$0.66","-$790.66"
"01/23/2026","Buy to Open","CVX 12/18/2026 180.00 C","CALL CHEVRON CORP NEW $180 EXP 12/18/26","1","$8.99","$0.66","-$899.66"
"01/23/2026","Buy to Open","QQQ 01/23/2026 612.00 P","PUT INVESCO QQQ TR $612 EXP 01/23/26","1","$0.25","$0.66","-$25.66"
"01/22/2026","Buy","SLVRF","SILVER ONE RES INC F","2,000","$0.5984","$6.95","-$1203.75"
"01/22/2026","Buy to Open","SLV 06/30/2026 100.00 C","CALL ISHR SILVER TR $100 EXP 06/30/26","1","$10.25","$0.66","-$1025.66"
"01/21/2026","Buy to Open","IBRX 01/15/2027 10.00 C","CALL IMMUNITYBIO INC $10 EXP 01/15/27","1","$1.75","$0.66","-$175.66"
"01/21/2026 as of 01/20/2026","Expired","QQQ 01/20/2026 614.00 C","CALL INVESCO QQQ TR $614 EXP 01/20/26","-1","","",""
"01/21/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","-5,000","","",""
"01/21/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","5,000","","",""
"01/20/2026","Sell","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","5,000","$1.00","","$5000.00"
"01/20/2026","Sell to Close","BIDU 02/20/2026 140.00 C","CALL BAIDU INC $140 EXP 02/20/26","1","$14.55","$0.66","$1454.34"
"01/20/2026","Sell to Close","QQQ 01/21/2026 614.00 C","CALL INVESCO QQQ TR $614 EXP 01/21/26","1","$1.51","$0.66","$150.34"
"01/20/2026","Buy to Open","QQQ 01/20/2026 614.00 C","CALL INVESCO QQQ TR $614 EXP 01/20/26","1","$0.28","$0.66","-$28.66"
"01/20/2026","Buy to Open","QQQ 01/21/2026 614.00 C","CALL INVESCO QQQ TR $614 EXP 01/21/26","1","$2.96","$0.66","-$296.66"
"01/20/2026","Buy","MPJPY","METAPLANET INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","300","$3.34","$6.95","-$1008.95"
"01/20/2026","Journal","MPJPY","METAPLANET INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","-600","","",""
"01/20/2026","Journal","MPJPY","METAPLANET INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","600","","",""
"01/15/2026","Buy to Open","ASST 01/15/2027 7.50 C","CALL STRIVE INC $7.5 EXP 01/15/27","1","$0.06","$0.66","-$6.66"
"01/15/2026","Buy to Open","ASST 01/15/2027 10.00 C","CALL STRIVE INC $10 EXP 01/15/27","1","$0.07","$0.66","-$7.66"
"01/15/2026","Buy to Open","ASST 01/15/2027 4.00 C","CALL STRIVE INC $4 EXP 01/15/27","1","$0.14","$0.66","-$14.66"
"01/15/2026","Buy to Open","QQQ 02/27/2026 615.00 P","PUT INVESCO QQQ TR $615 EXP 02/27/26","1","$10.45","$0.66","-$1045.66"
"01/15/2026","Buy","MPJPY","METAPLANET INC FSPONSORED ADR 1 ADR REPS 1 ORD SHS","600","$3.958","$6.95","-$2381.75"
"01/13/2026","Buy to Open","QS 01/15/2027 12.00 C","CALL QUANTUMSCAPE CORP $12 EXP 01/15/27","2","$3.45","$1.32","-$691.32"
"01/12/2026","Buy to Open","LULU 09/18/2026 340.00 C","CALL LULULEMON ATHLETICA$340 EXP 09/18/26","1","$5.10","$0.66","-$510.66"
"01/12/2026","Buy to Open","NVDA 03/20/2026 175.00 P","PUT NVIDIA CORP $175 EXP 03/20/26","1","$7.65","$0.66","-$765.66"
"01/12/2026","Buy to Open","LULU 05/15/2026 300.00 C","CALL LULULEMON ATHLETICA$300 EXP 05/15/26","1","$2.80","$0.66","-$280.66"
"01/12/2026","Buy to Open","WWR 05/15/2026 3.00 C","CALL WESTWATER RES INC $3 EXP 05/15/26","5","$0.10","$3.30","-$53.30"
"01/12/2026","Buy to Open","WWR 05/15/2026 4.00 C","CALL WESTWATER RES INC $4 EXP 05/15/26","10","$0.09","$6.61","-$96.61"
"01/12/2026 as of 01/09/2026","Expired","QQQ 01/09/2026 620.00 P","PUT INVESCO QQQ TR $620 EXP 01/09/26","-10","","",""
"01/09/2026","Sell to Close","QQQ 02/13/2026 580.00 P","PUT INVESCO QQQ TR $580 EXP 02/13/26","1","$2.67","$0.66","$266.34"
"01/09/2026","Sell to Close","QQQ 02/13/2026 565.00 P","PUT INVESCO QQQ TR $565 EXP 02/13/26","1","$1.67","$0.66","$166.34"
"01/09/2026","Buy to Open","QQQ 01/09/2026 620.00 P","PUT INVESCO QQQ TR $620 EXP 01/09/26","10","$0.03","$6.61","-$36.61"
"01/08/2026","Buy to Open","QQQ 03/31/2026 580.00 P","PUT INVESCO QQQ TR $580 EXP 03/31/26","1","$9.92","$0.66","-$992.66"
"01/08/2026","Buy to Open","QQQ 03/31/2026 565.00 P","PUT INVESCO QQQ TR $565 EXP 03/31/26","1","$7.40","$0.66","-$740.66"
"01/08/2026","Buy to Open","IREN 05/15/2026 70.00 C","CALL IREN LTD $70 EXP 05/15/26","1","$4.51","$0.66","-$451.66"
"01/08/2026","Buy to Open","QQQ 02/13/2026 580.00 P","PUT INVESCO QQQ TR $580 EXP 02/13/26","1","$3.83","$0.66","-$383.66"
"01/08/2026","Buy to Open","QQQ 02/13/2026 565.00 P","PUT INVESCO QQQ TR $565 EXP 02/13/26","1","$2.33","$0.66","-$233.66"
"01/06/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","40,000","","",""
"01/06/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","-40,000","","",""
"01/05/2026","Sell to Close","SPY 01/23/2026 680.00 P","PUT SPDR S&P ...500 $680 EXP 01/23/26","1","$3.96","$0.66","$395.34"
"01/05/2026","Buy to Open","SPY 01/23/2026 680.00 P","PUT SPDR S&P ...500 $680 EXP 01/23/26","1","$3.68","$0.66","-$368.66"
"01/05/2026","Buy to Open","OKLO 03/20/2026 115.00 C","CALL OKLO INC $115 EXP 03/20/26","1","$6.75","$0.66","-$675.66"
"01/05/2026","Buy to Open","SMR 03/20/2026 30.00 C","CALL NUSCALE PWR CORP $30 EXP 03/20/26","4","$1.10","$2.64","-$442.64"
"01/05/2026","Buy to Open","SMR 03/20/2026 30.00 C","CALL NUSCALE PWR CORP $30 EXP 03/20/26","1","$1.05","$0.66","-$105.66"
"01/05/2026 as of 01/02/2026","Expired","PLTR 01/02/2026 150.00 P","PUT PALANTIR TECHNOLOGIE$150 EXP 01/02/26","-1","","",""
"01/02/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","111.03","","",""
"01/02/2026","Journal","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","-111.03","","",""
"12/31/2025","Short Term Cap Gain Reinvest","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$0.04"
"12/31/2025","Short Term Cap Gain Reinvest","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$0.02"
"12/31/2025","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","0.02","$1.00","","-$0.02"
"12/31/2025","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","0.04","$1.00","","-$0.04"
"12/31/2025","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$48.32"
"12/31/2025","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$110.99"
"12/31/2025","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","48.32","$1.00","","-$48.32"
"12/31/2025","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","110.99","$1.00","","-$110.99"
"12/30/2025","Credit Interest","","SCHWAB1 INT 11/26-12/29","","","","$0.60"
"12/19/2025","Sell to Close","MSFT 03/20/2026 400.00 P","PUT MICROSOFT CORP $400 EXP 03/20/26","1","$3.25","$0.66","$324.34"
"12/19/2025","Sell to Close","GOOG 03/20/2026 245.00 P","PUT ALPHABET INC $245 EXP 03/20/26","1","$2.88","$0.66","$287.34"
"12/19/2025","Sell to Close","PLTR 03/20/2026 135.00 P","PUT PALANTIR TECHNOLOGIE$135 EXP 03/20/26","1","$3.21","$0.66","$320.34"
"12/18/2025","Buy to Open","LULU 05/15/2026 340.00 C","CALL LULULEMON ATHLETICA$340 EXP 05/15/26","1","$2.36","$0.66","-$236.66"
"12/15/2025 as of 12/12/2025","Expired","TSLA 12/12/2025 375.00 P","PUT TESLA INC $375 EXP 12/12/25","-1","","",""
"12/11/2025","Sell","BITX","2X BITCOIN STRATEGY ETF","35","$30.785","$0.01","$1077.47"
"12/09/2025","ADR Mgmt Fee","BIDU","BAIDU INC F","","","","-$0.42"
"12/05/2025","Sell to Close","TSLA 02/20/2026 370.00 P","PUT TESLA INC $370 EXP 02/20/26","1","$10.52","$0.66","$1051.34"
"12/04/2025","Buy","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","40,000","$1.00","","-$40000.00"
"12/04/2025","Buy to Open","MOH 01/15/2027 300.00 C","CALL MOLINA HEALTHCARE I$300 EXP 01/15/27","1","$6.30","$0.66","-$630.66"
"12/04/2025","Buy to Open","BIDU 02/20/2026 140.00 C","CALL BAIDU INC $140 EXP 02/20/26","1","$3.30","$0.66","-$330.66"
"12/04/2025","Sell to Close","SPY 01/30/2026 690.00 C","CALL SPDR S&P ...500 $690 EXP 01/30/26","1","$13.58","$0.66","$1357.34"
"12/01/2025","Buy to Open","SPY 01/30/2026 690.00 C","CALL SPDR S&P ...500 $690 EXP 01/30/26","1","$13.40","$0.66","-$1340.66"
"12/01/2025","Sell to Close","WMT 01/15/2027 90.00 P","PUT WALMART INC $90 EXP 01/15/27","1","$3.30","$0.66","$329.34"
"12/01/2025","Qualified Dividend","COP","CONOCOPHILLIPS","","","","$16.80"
"12/01/2025 as of 11/28/2025","Expired","TSLA 11/28/2025 500.00 C","CALL TESLA INC $500 EXP 11/28/25","-1","","",""
"12/01/2025 as of 11/28/2025","Expired","NVDA 11/28/2025 195.00 C","CALL NVIDIA CORP $195 EXP 11/28/25","-1","","",""
"11/28/2025","Reinvest Dividend","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","","","","$43.97"
"11/28/2025","Reinvest Shares","SWVXX","SCHWAB PRIME ADVANTAGE MONEY INVESTOR","43.97","$1.00","","-$43.97"
"11/26/2025","Credit Interest","","SCHWAB1 INT 10/30-11/25","","","","$1.73"
"11/26/2025","Cash Dividend","BITX","2X BITCOIN STRATEGY ETF","","","","$19.92"
