"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"6/14/2023","6/14/2023","6/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","3","$45.72","($137.17)"
"6/14/2023","6/14/2023","6/16/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","6","$11.30","($67.83)"
"6/13/2023","6/13/2023","6/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","6","$11.33","$67.98"
"6/13/2023","6/13/2023","6/15/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$44.96","$89.91"
"6/8/2023","6/8/2023","6/12/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$12.02","$180.23"
"6/8/2023","6/8/2023","6/12/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$42.52","($212.63)"
"6/7/2023","6/7/2023","6/9/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$11.99","($59.96)"
"6/6/2023","6/6/2023","6/8/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","4","$42.22","$168.88"
"6/2/2023","6/2/2023","6/6/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","4","$42.70","($170.80)"
"6/1/2023","6/1/2023","6/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$12.49","($124.88)"
"5/31/2023","5/31/2023","6/2/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$12.89","($128.86)"
"5/31/2023","5/31/2023","6/2/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$39.90","$119.70"
"5/30/2023","5/30/2023","6/1/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$40.85","$122.56"
"5/30/2023","5/30/2023","6/1/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","6","$12.50","$75.02"
"5/30/2023","5/30/2023","6/1/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","8","$12.45","$99.61"
"5/26/2023","5/26/2023","5/31/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","8","$12.63","($101.01)"
"5/26/2023","5/26/2023","5/31/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","7","$13.01","$91.07"
"5/25/2023","5/25/2023","5/30/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.17","($65.83)"
"5/25/2023","5/25/2023","5/30/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.23","($66.15)"
"5/25/2023","5/25/2023","5/30/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.17","($65.86)"
"5/25/2023","5/25/2023","5/30/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$39.01","($78.02)"
"5/24/2023","5/24/2023","5/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$13.44","$134.35"
"5/24/2023","5/24/2023","5/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","4","$37.93","($151.71)"
"5/23/2023","5/23/2023","5/25/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$13.01","($130.07)"
"5/23/2023","5/23/2023","5/25/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$39.65","$118.95"
"5/22/2023","5/22/2023","5/24/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$40.51","$81.02"
"5/18/2023","5/18/2023","5/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$39.51","$79.02"
"5/18/2023","5/18/2023","5/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$39.90","$79.80"
"5/17/2023","5/17/2023","5/19/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$39.02","($195.13)"
"5/17/2023","5/17/2023","5/19/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.21","$66.07"
"5/16/2023","5/16/2023","5/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","4","$38.38","$153.54"
"5/15/2023","5/15/2023","5/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$38.24","($76.48)"
"5/12/2023","5/12/2023","5/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$37.88","($75.77)"
"5/12/2023","5/12/2023","5/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$37.96","($75.92)"
"5/12/2023","5/12/2023","5/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$37.91","($75.81)"
"5/12/2023","5/12/2023","5/16/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.24","($66.21)"
"5/11/2023","5/11/2023","5/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","8","$13.37","$106.95"
"5/11/2023","5/11/2023","5/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","7","$13.35","$93.46"
"5/11/2023","5/11/2023","5/15/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$38.39","$76.78"
"5/11/2023","5/11/2023","5/15/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$38.52","$77.04"
"5/11/2023","5/11/2023","5/15/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$38.51","$77.02"
"5/11/2023","5/11/2023","5/15/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$38.51","$77.02"
"5/11/2023","5/11/2023","5/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$13.43","$201.48"
"5/10/2023","5/10/2023","5/12/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","30","$13.54","($406.10)"
"5/10/2023","5/10/2023","5/12/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$38.70","($77.40)"
"5/10/2023","5/10/2023","5/12/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$38.96","($77.92)"
"5/10/2023","5/10/2023","5/12/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$39.28","($78.56)"
"5/10/2023","5/10/2023","5/12/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.11","$65.56"
"5/9/2023","5/9/2023","5/11/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.37","($66.85)"
"5/9/2023","5/9/2023","5/11/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$38.58","($77.16)"
"5/8/2023","5/8/2023","5/10/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$38.58","$77.15"
"5/5/2023","5/5/2023","5/9/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$38.36","($38.36)"
"5/5/2023","5/5/2023","5/9/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$38.33","($38.33)"
"5/4/2023","5/4/2023","5/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$14.00","$69.98"
"5/4/2023","5/4/2023","5/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$14.08","$70.40"
"5/4/2023","5/4/2023","5/8/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$14.07","$70.37"
"5/3/2023","5/3/2023","5/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.61","($68.04)"
"5/3/2023","5/3/2023","5/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.29","($66.44)"
"5/3/2023","5/3/2023","5/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.28","($66.39)"
"5/3/2023","5/3/2023","5/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.33","$66.66"
"5/3/2023","5/3/2023","5/5/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.37","$66.85"
"5/2/2023","5/2/2023","5/4/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$13.62","$136.24"
"5/1/2023","5/1/2023","5/3/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$12.97","($64.85)"
"4/28/2023","4/28/2023","5/2/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.10","($65.48)"
"4/28/2023","4/28/2023","5/2/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$13.09","($130.88)"
"4/28/2023","4/28/2023","5/2/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$38.99","$116.98"
"4/26/2023","4/26/2023","4/28/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","3","$37.54","($112.61)"
"4/25/2023","4/25/2023","4/27/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$13.86","$138.60"
"4/25/2023","4/25/2023","4/27/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$13.52","$135.23"
"4/24/2023","4/24/2023","4/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.33","($66.64)"
"4/24/2023","4/24/2023","4/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$13.45","($134.50)"
"4/24/2023","4/24/2023","4/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$38.82","$116.46"
"4/24/2023","4/24/2023","4/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.39","($66.94)"
"4/24/2023","4/24/2023","4/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$38.92","$116.76"
"4/24/2023","4/24/2023","4/26/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","6","$39.11","$234.67"
"4/24/2023","4/24/2023","4/26/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$13.26","$132.60"
"4/21/2023","4/21/2023","4/25/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","10","$38.77","($387.67)"
"4/21/2023","4/21/2023","4/25/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.39","($66.95)"
"4/20/2023","4/20/2023","4/24/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$39.08","($78.16)"
"4/20/2023","4/20/2023","4/24/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.37","($66.83)"
"4/20/2023","4/20/2023","4/24/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","6","$13.27","$79.62"
"4/19/2023","4/19/2023","4/21/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","4","$39.58","$158.34"
"4/19/2023","4/19/2023","4/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","6","$13.28","($79.65)"
"4/18/2023","4/18/2023","4/20/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.07","$65.37"
"4/18/2023","4/18/2023","4/20/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.47","($39.47)"
"4/18/2023","4/18/2023","4/20/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.10","$65.48"
"4/18/2023","4/18/2023","4/20/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.82","($39.82)"
"4/18/2023","4/18/2023","4/20/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.99","($39.99)"
"4/17/2023","4/17/2023","4/19/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.49","($39.49)"
"4/17/2023","4/17/2023","4/19/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$13.18","$131.75"
"4/14/2023","4/14/2023","4/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","4","$38.74","$154.98"
"4/14/2023","4/14/2023","4/18/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$13.39","($133.87)"
"4/14/2023","4/14/2023","4/18/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$13.41","($134.07)"
"4/14/2023","4/14/2023","4/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.02","($39.02)"
"4/14/2023","4/14/2023","4/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.06","($39.07)"
"4/14/2023","4/14/2023","4/18/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.92","($39.93)"
"4/13/2023","4/13/2023","4/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$39.14","($39.14)"
"4/13/2023","4/13/2023","4/17/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","10","$13.31","$133.10"
"4/13/2023","4/13/2023","4/17/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$13.45","$201.71"
"4/12/2023","4/12/2023","4/14/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.61","($68.03)"
"4/12/2023","4/12/2023","4/14/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$13.40","($134.00)"
"4/12/2023","4/12/2023","4/13/2023","NVDA","NVDA 5/12/2023 Put $220.00","STC","1","$1.37","$136.98"
"4/12/2023","4/12/2023","4/13/2023","NVDA","NVDA 5/12/2023 Put $220.00","BTO","1","$1.42","($142.00)"
"4/12/2023","4/12/2023","4/14/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","10","$13.40","($134.00)"
"4/12/2023","4/12/2023","4/14/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","4","$38.88","$155.50"
"4/11/2023","4/11/2023","4/13/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","5","$38.32","$191.60"
"4/11/2023","4/11/2023","4/12/2023","AMC","AMC 9/15/2023 Call $7.00","BTO","1","$0.70","($70.00)"
"4/10/2023","4/10/2023","4/12/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$38.07","($190.35)"
"4/10/2023","4/10/2023","4/12/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$37.91","$113.72"
"4/6/2023","4/6/2023","4/11/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$38.10","($76.19)"
"4/6/2023","4/6/2023","4/11/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$37.62","($37.63)"
"4/6/2023","4/6/2023","4/11/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","4","$13.78","$55.12"
"4/6/2023","4/6/2023","4/11/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$37.73","($37.73)"
"4/6/2023","4/6/2023","4/11/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$37.66","($37.67)"
"4/5/2023","4/5/2023","4/10/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","4","$13.73","($54.91)"
"4/5/2023","4/5/2023","4/10/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$38.07","($76.13)"
"4/5/2023","4/5/2023","4/10/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.67","$68.35"
"4/5/2023","4/5/2023","4/10/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","5","$13.70","$68.50"
"4/5/2023","4/5/2023","4/6/2023","NVDA","NVDA 6/16/2023 Put $220.00","STC","1","$6.45","$644.98"
"4/4/2023","4/4/2023","4/5/2023","NVDA","NVDA 6/16/2023 Put $220.00","BTO","1","$5.65","($565.00)"
"4/4/2023","4/4/2023","4/6/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.56","($67.78)"
"4/4/2023","4/4/2023","4/6/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$13.38","($66.90)"
"3/31/2023","3/31/2023","4/4/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","3","$38.58","$115.74"
"3/31/2023","3/31/2023","4/4/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$38.41","$76.82"
"3/29/2023","3/29/2023","3/29/2023","UPRO","Cash Div: R/D 2023-03-23 P/D 2023-03-29 - 3 shares at 0.082561","CDIV","","","$0.25"
"3/29/2023","3/29/2023","3/31/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$36.12","($72.25)"
"3/29/2023","3/29/2023","3/31/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$35.96","$71.92"
"3/28/2023","3/28/2023","3/30/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$34.72","($34.72)"
"3/28/2023","3/28/2023","3/30/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$34.92","($69.84)"
"3/27/2023","3/27/2023","3/29/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$35.18","($70.37)"
"3/27/2023","3/27/2023","3/29/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","3","$14.89","$44.67"
"3/27/2023","3/27/2023","3/29/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","3","$14.62","$43.85"
"3/24/2023","3/24/2023","3/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$15.22","($76.11)"
"3/24/2023","3/24/2023","3/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","1","$15.26","($15.27)"
"3/24/2023","3/24/2023","3/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","6","$15.38","$92.28"
"3/24/2023","3/24/2023","3/28/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","6","$15.44","$92.67"
"3/23/2023","3/23/2023","3/27/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","2","$14.63","($29.26)"
"3/23/2023","3/23/2023","3/27/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$14.89","($74.46)"
"3/22/2023","3/22/2023","3/24/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$14.53","($72.65)"
"3/22/2023","3/22/2023","3/24/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","5","$35.92","$179.58"
"3/22/2023","3/22/2023","3/24/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$35.58","($71.16)"
"3/21/2023","3/21/2023","3/23/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","4","$14.94","$59.76"
"3/21/2023","3/21/2023","3/23/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$35.22","($35.22)"
"3/21/2023","3/21/2023","3/23/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","3","$14.86","$44.58"
"3/20/2023","3/20/2023","3/22/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$15.31","($76.57)"
"3/20/2023","3/20/2023","3/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$34.49","($34.49)"
"3/20/2023","3/20/2023","3/22/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","2","$15.47","($30.94)"
"3/20/2023","3/20/2023","3/22/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$34.03","($34.03)"
"3/17/2023","3/17/2023","3/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","2","$15.72","$31.43"
"3/17/2023","3/17/2023","3/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","2","$15.66","$31.32"
"3/17/2023","3/17/2023","3/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","2","$15.70","$31.40"
"3/17/2023","3/17/2023","3/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","2","$15.70","$31.41"
"3/17/2023","3/17/2023","3/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","4","$15.76","$63.03"
"3/17/2023","3/17/2023","3/21/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","12","$15.78","$189.36"
"3/16/2023","3/16/2023","3/20/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$15.75","($78.75)"
"3/16/2023","3/16/2023","3/20/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$16.33","($81.65)"
"3/16/2023","3/16/2023","3/20/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","10.846556","$32.58","$353.41"
"3/16/2023","3/16/2023","3/20/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","0.153444","$32.58","$5.00"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$32.76","($65.52)"
"3/15/2023","3/15/2023","3/17/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$16.01","$240.17"
"3/15/2023","3/15/2023","3/17/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","7","$16.28","$113.99"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$32.54","($65.07)"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$32.20","($32.20)"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$32.26","($64.52)"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$32.27","($64.54)"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$32.19","($64.37)"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$31.97","$63.95"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$32.26","$64.51"
"3/15/2023","3/15/2023","3/17/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","5","$32.48","$162.41"
"3/14/2023","3/14/2023","3/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","1","$33.82","($33.82)"
"3/14/2023","3/14/2023","3/16/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$15.91","($79.54)"
"3/14/2023","3/14/2023","3/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$32.82","$65.65"
"3/14/2023","3/14/2023","3/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Sell","2","$32.96","$65.92"
"3/14/2023","3/14/2023","3/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","2","$33.30","($66.59)"
"3/14/2023","3/14/2023","3/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$33.38","($166.90)"
"3/14/2023","3/14/2023","3/16/2023","UPRO","ProShares UltraPro S&P 500 ETF
CUSIP: 74347X864","Buy","5","$33.36","($166.83)"
"3/13/2023","3/13/2023","3/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","3","$16.22","($48.66)"
"3/13/2023","3/13/2023","3/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","2","$16.33","($32.66)"
"3/13/2023","3/13/2023","3/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","2","$16.00","($31.99)"
"3/13/2023","3/13/2023","3/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$16.26","($81.30)"
"3/13/2023","3/13/2023","3/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Buy","5","$16.23","($81.15)"
"3/13/2023","3/13/2023","3/15/2023","SPXU","ProShares UltraPro Short S&P 500 ETF
CUSIP: 74347B110","Sell","15","$16.08","$241.28"
